series_name,gsi,user_id,created_at,episode_id,season_number,episode_number,s_id,key,ep_id,updated_at,total_movies_runtime,movie_watch_count,ep_watch_count,total_series_runtime,series_follow_count,most_recent_ep_watched,is_archived,is_followed,uuid,is_for_later,followed_at,ep_no,s_no,rewatch_count,is_unitary,runtime,bulk_type
Fringe,,42659028,2020-07-26 07:21:34,399476,1,7,82066,watch-episode-02531a20-2745-4f3c-b0b0-25475135b863-76e07a9a-271f-4b8e-b06c-101ee9871657,399476,2020-07-26 07:21:34,,,,,,,,,,,,7,1,0,false,,
Fringe,,42659028,2020-07-26 07:21:34,444946,1,19,82066,watch-episode-02531a20-2745-4f3c-b0b0-25475135b863-76ea7697-7915-4ffa-aa35-bbab03d00f0c,444946,2020-07-26 07:21:34,,,,,,,,,,,,19,1,0,false,,
Fringe,,42659028,2020-07-26 07:21:34,387578,1,4,82066,watch-episode-02531a20-2745-4f3c-b0b0-25475135b863-867d3768-daa2-4b05-89d1-d31ee1b0d9f9,387578,2020-07-26 07:21:34,,,,,,,,,,,,4,1,0,false,,
Fringe,,42659028,2020-07-26 07:21:34,367882,1,1,82066,watch-episode-02531a20-2745-4f3c-b0b0-25475135b863-97008586-52cf-41e6-a765-39a0a36b0fb3,367882,2020-07-26 07:21:34,,,,,,,,,,,,1,1,0,false,,
Fringe,,42659028,2020-07-26 07:21:34,391049,1,5,82066,watch-episode-02531a20-2745-4f3c-b0b0-25475135b863-97762aa2-33c4-4cd2-ac84-e7cdd08e4b79,391049,2020-07-26 07:21:34,,,,,,,,,,,,5,1,0,false,,
Fringe,,42659028,2020-07-26 07:21:34,420374,1,13,82066,watch-episode-02531a20-2745-4f3c-b0b0-25475135b863-98178335-d2ae-4a97-819f-b2e059b53293,420374,2020-07-26 07:21:34,,,,,,,,,,,,13,1,0,false,,
Fringe,,42659028,2020-07-26 07:21:34,393881,1,6,82066,watch-episode-02531a20-2745-4f3c-b0b0-25475135b863-a4faad8b-9c54-4c39-9b84-9c9155239d83,393881,2020-07-26 07:21:34,,,,,,,,,,,,6,1,0,false,,
Fringe,,42659028,2020-07-26 07:21:34,444945,1,18,82066,watch-episode-02531a20-2745-4f3c-b0b0-25475135b863-babac0d6-b4f5-4fee-b329-251afec135a7,444945,2020-07-26 07:21:34,,,,,,,,,,,,18,1,0,false,,
Fringe,,42659028,2020-07-26 07:21:34,402434,1,9,82066,watch-episode-02531a20-2745-4f3c-b0b0-25475135b863-c9b06e72-cc2b-4cc7-a23d-989b23ad8958,402434,2020-07-26 07:21:34,,,,,,,,,,,,9,1,0,false,,
Fringe,,42659028,2020-07-26 07:21:34,408746,1,10,82066,watch-episode-02531a20-2745-4f3c-b0b0-25475135b863-ce2fbbfa-2007-4f56-abfa-01a3c42677e3,408746,2020-07-26 07:21:34,,,,,,,,,,,,10,1,0,false,,
Fringe,,42659028,2020-07-26 07:21:34,444943,1,16,82066,watch-episode-02531a20-2745-4f3c-b0b0-25475135b863-d3227e4f-00f0-46d3-9518-d0757f8b371f,444943,2020-07-26 07:21:34,,,,,,,,,,,,16,1,0,false,,
Fringe,,42659028,2020-07-26 07:21:34,420373,1,12,82066,watch-episode-02531a20-2745-4f3c-b0b0-25475135b863-d4bc089b-632e-4af7-813a-1fc59680f96b,420373,2020-07-26 07:21:34,,,,,,,,,,,,12,1,0,false,,
Fringe,,42659028,2020-07-26 07:21:34,386717,1,3,82066,watch-episode-02531a20-2745-4f3c-b0b0-25475135b863-e7ec50ee-4503-4970-b630-5c3029ae5b6b,386717,2020-07-26 07:21:34,,,,,,,,,,,,3,1,0,false,,
